[2025-07-02 14:01:43] zkcross-chain  | zkCross Simulator Started
[2025-07-02 14:01:43] zkcross-chain  | Received Source Block 0
[2025-07-02 14:01:43] zkcross-chain  |   -> Audited TX e1457e3c...
[2025-07-02 14:01:43] zkcross-chain  |   -> Audited TX f6f1e548...
[2025-07-02 14:01:43] zkcross-chain  |   -> Audited TX 550e67aa...
[2025-07-02 14:01:43] zkcross-chain  |   -> Audited TX d8996a42...
[2025-07-02 14:01:43] zkcross-chain  |   -> Audited TX a17bd1f0...
[2025-07-02 14:01:43] zkcross-chain  | Received Source Block 1
[2025-07-02 14:01:43] zkcross-chain  |   -> Audited TX e2e41333...
[2025-07-02 14:01:43] zkcross-chain  |   -> Audited TX d7c2b184...
[2025-07-02 14:01:43] zkcross-chain  |   -> Audited TX 6d1d7c5f...
[2025-07-02 14:01:43] zkcross-chain  |   -> OMITTED TX 2b4d57cd...
[2025-07-02 14:01:43] zkcross-chain  |   -> Audited TX e774b46d...
[2025-07-02 14:01:43] zkcross-chain  | Received Source Block 2
[2025-07-02 14:01:43] zkcross-chain  |   -> Audited TX 28c905d5...
[2025-07-02 14:01:43] zkcross-chain  |   -> Audited TX eb01c61b...
[2025-07-02 14:01:43] zkcross-chain  |   -> OMITTED TX 49489f2c...
[2025-07-02 14:01:43] zkcross-chain  |   -> Audited TX 92ed12c1...
[2025-07-02 14:01:43] zkcross-chain  |   -> Audited TX 4019f2ae...
[2025-07-02 14:01:43] zkcross-chain  | Received Source Block 3
[2025-07-02 14:01:43] zkcross-chain  |   -> Audited TX 66a6d359...
[2025-07-02 14:01:43] zkcross-chain  |   -> Audited TX 7e32d177...
[2025-07-02 14:01:43] zkcross-chain  |   -> Audited TX c70f9a58...
[2025-07-02 14:01:43] zkcross-chain  |   -> Audited TX 08138257...
[2025-07-02 14:01:43] zkcross-chain  |   -> Audited TX 49b211e9...
[2025-07-02 14:01:43] zkcross-chain  | Received Source Block 4
[2025-07-02 14:01:43] zkcross-chain  |   -> Audited TX a8a418d7...
[2025-07-02 14:01:43] zkcross-chain  |   -> Audited TX d6740bae...
[2025-07-02 14:01:43] zkcross-chain  |   -> Audited TX aa23d300...
[2025-07-02 14:01:43] zkcross-chain  |   -> OMITTED TX f01e68e0...
[2025-07-02 14:01:43] zkcross-chain  |   -> Audited TX f8a3bd1c...
[2025-07-02 14:01:43] zkcross-chain  | Received Source Block 5
[2025-07-02 14:01:43] zkcross-chain  |   -> Audited TX 5a6e241e...
[2025-07-02 14:01:43] zkcross-chain  |   -> Audited TX 980969bf...
[2025-07-02 14:01:43] zkcross-chain  |   -> Audited TX 9053f15d...
[2025-07-02 14:01:43] zkcross-chain  |   -> Audited TX a75b1183...
[2025-07-02 14:01:43] zkcross-chain  |   -> Audited TX 241fc36b...
[2025-07-02 14:01:43] zlb-watcher    | 
[2025-07-02 14:01:43] zlb-watcher    | >>> Proof of Bridge Omission generated for TX: 2b4d57cd78e5de62530de9c214ed8998fbaa0122cf6aae90a9b3f9d8e4c9da2f <<<
[2025-07-02 14:01:43] zlb-watcher    | 
[2025-07-02 14:01:43] zlb-watcher    | 
[2025-07-02 14:01:43] zlb-watcher    | >>> Proof of Destination Omission generated for TX: 6d1d7c5f297b28acae1b65dc61d44d26d644b593cbde834cb1ba35aa90a7d161 (Committer: 0xCommitter) <<<
[2025-07-02 14:01:43] zlb-watcher    | 
[2025-07-02 14:01:43] zlb-watcher    | 
[2025-07-02 14:01:43] zlb-watcher    | >>> Proof of Bridge Omission generated for TX: 49489f2ce735ea6de1f4c6ea1e30babe6ea66ffef0a1276653baecd51ffdad77 <<<
[2025-07-02 14:01:43] zlb-watcher    | 
[2025-07-02 14:01:43] dest-chain     | Destination Chain Simulator Started
[2025-07-02 14:01:43] dest-chain     | Received Audit for TX e1457e3c...
[2025-07-02 14:01:43] dest-chain     |   -> Minted TX e1457e3c...
[2025-07-02 14:01:43] dest-chain     | Received Audit for TX f6f1e548...
[2025-07-02 14:01:43] dest-chain     |   -> Minted TX f6f1e548...
[2025-07-02 14:01:43] dest-chain     | Received Audit for TX 550e67aa...
[2025-07-02 14:01:43] dest-chain     |   -> Minted TX 550e67aa...
[2025-07-02 14:01:43] dest-chain     | Received Audit for TX d8996a42...
[2025-07-02 14:01:43] dest-chain     |   -> Minted TX d8996a42...
[2025-07-02 14:01:43] dest-chain     | Received Audit for TX a17bd1f0...
[2025-07-02 14:01:43] dest-chain     |   -> Minted TX a17bd1f0...
[2025-07-02 14:01:43] dest-chain     | Received Audit for TX e2e41333...
[2025-07-02 14:01:43] dest-chain     |   -> Minted TX e2e41333...
[2025-07-02 14:01:43] dest-chain     | Received Audit for TX d7c2b184...
[2025-07-02 14:01:43] dest-chain     |   -> Minted TX d7c2b184...
[2025-07-02 14:01:43] dest-chain     | Received Audit for TX 6d1d7c5f...
[2025-07-02 14:01:43] dest-chain     |   -> FAILED TO MINT TX 6d1d7c5f...
[2025-07-02 14:01:43] dest-chain     | Received Audit for TX e774b46d...
[2025-07-02 14:01:43] dest-chain     |   -> Minted TX e774b46d...
[2025-07-02 14:01:43] dest-chain     | Received Audit for TX 28c905d5...
[2025-07-02 14:01:43] dest-chain     |   -> Minted TX 28c905d5...
[2025-07-02 14:01:43] dest-chain     | Received Audit for TX eb01c61b...
[2025-07-02 14:01:43] dest-chain     |   -> Minted TX eb01c61b...
[2025-07-02 14:01:43] dest-chain     | Received Audit for TX 92ed12c1...
[2025-07-02 14:01:43] dest-chain     |   -> Minted TX 92ed12c1...
[2025-07-02 14:01:43] dest-chain     | Received Audit for TX 4019f2ae...
[2025-07-02 14:01:43] dest-chain     |   -> Minted TX 4019f2ae...
[2025-07-02 14:01:43] dest-chain     | Received Audit for TX 66a6d359...
[2025-07-02 14:01:43] dest-chain     |   -> Minted TX 66a6d359...
[2025-07-02 14:01:43] dest-chain     | Received Audit for TX 7e32d177...
[2025-07-02 14:01:43] dest-chain     |   -> Minted TX 7e32d177...
[2025-07-02 14:01:43] dest-chain     | Received Audit for TX c70f9a58...
[2025-07-02 14:01:43] dest-chain     |   -> Minted TX c70f9a58...
[2025-07-02 14:01:43] dest-chain     | Received Audit for TX 08138257...
[2025-07-02 14:01:43] dest-chain     |   -> Minted TX 08138257...
[2025-07-02 14:01:43] dest-chain     | Received Audit for TX 49b211e9...
[2025-07-02 14:01:43] dest-chain     |   -> FAILED TO MINT TX 49b211e9...
[2025-07-02 14:01:43] dest-chain     | Received Audit for TX a8a418d7...
[2025-07-02 14:01:43] dest-chain     |   -> Minted TX a8a418d7...
[2025-07-02 14:01:43] dest-chain     | Received Audit for TX d6740bae...
[2025-07-02 14:01:43] dest-chain     |   -> FAILED TO MINT TX d6740bae...
[2025-07-02 14:01:43] dest-chain     | Received Audit for TX aa23d300...
[2025-07-02 14:01:43] dest-chain     |   -> Minted TX aa23d300...
[2025-07-02 14:01:43] dest-chain     | Received Audit for TX f8a3bd1c...
[2025-07-02 14:01:43] dest-chain     |   -> Minted TX f8a3bd1c...
[2025-07-02 14:01:43] dest-chain     | Received Audit for TX 5a6e241e...
[2025-07-02 14:01:43] dest-chain     |   -> FAILED TO MINT TX 5a6e241e...
[2025-07-02 14:01:43] dest-chain     | Received Audit for TX 980969bf...
[2025-07-02 14:01:43] dest-chain     |   -> Minted TX 980969bf...
[2025-07-02 14:01:43] dest-chain     | Received Audit for TX 9053f15d...
[2025-07-02 14:01:43] dest-chain     |   -> Minted TX 9053f15d...
[2025-07-02 14:01:43] dest-chain     | Received Audit for TX a75b1183...
[2025-07-02 14:01:43] dest-chain     |   -> Minted TX a75b1183...
[2025-07-02 14:01:43] dest-chain     | Received Audit for TX 241fc36b...
[2025-07-02 14:01:43] dest-chain     |   -> Minted TX 241fc36b...
[2025-07-02 14:01:43] source-chain   | Source Chain Simulator Started
[2025-07-02 14:01:43] source-chain   | Sent TX e1457e3c... to ZLB Watcher
[2025-07-02 14:01:43] source-chain   | Sent TX f6f1e548... to ZLB Watcher
[2025-07-02 14:01:43] source-chain   | Sent TX 550e67aa... to ZLB Watcher
[2025-07-02 14:01:43] source-chain   | Sent TX d8996a42... to ZLB Watcher
[2025-07-02 14:01:43] source-chain   | Sent TX a17bd1f0... to ZLB Watcher
[2025-07-02 14:01:43] source-chain   | --- Created Block 0 with 5 TXs ---
[2025-07-02 14:01:43] source-chain   | Sent TX e2e41333... to ZLB Watcher
[2025-07-02 14:01:43] source-chain   | Sent TX d7c2b184... to ZLB Watcher
[2025-07-02 14:01:43] source-chain   | Sent TX 6d1d7c5f... to ZLB Watcher
[2025-07-02 14:01:43] source-chain   | Sent TX 2b4d57cd... to ZLB Watcher
[2025-07-02 14:01:43] source-chain   | Sent TX e774b46d... to ZLB Watcher
[2025-07-02 14:01:43] source-chain   | --- Created Block 1 with 5 TXs ---
[2025-07-02 14:01:43] source-chain   | Sent TX 28c905d5... to ZLB Watcher
[2025-07-02 14:01:43] source-chain   | Sent TX eb01c61b... to ZLB Watcher
[2025-07-02 14:01:43] source-chain   | Sent TX 49489f2c... to ZLB Watcher
[2025-07-02 14:01:43] source-chain   | Sent TX 92ed12c1... to ZLB Watcher
[2025-07-02 14:01:43] source-chain   | Sent TX 4019f2ae... to ZLB Watcher
[2025-07-02 14:01:43] source-chain   | --- Created Block 2 with 5 TXs ---
[2025-07-02 14:01:43] source-chain   | Sent TX 66a6d359... to ZLB Watcher
[2025-07-02 14:01:43] source-chain   | Sent TX 7e32d177... to ZLB Watcher
[2025-07-02 14:01:43] source-chain   | Sent TX c70f9a58... to ZLB Watcher
[2025-07-02 14:01:43] source-chain   | Sent TX 08138257... to ZLB Watcher
[2025-07-02 14:01:43] source-chain   | Sent TX 49b211e9... to ZLB Watcher
[2025-07-02 14:01:43] source-chain   | --- Created Block 3 with 5 TXs ---
[2025-07-02 14:01:43] source-chain   | Sent TX a8a418d7... to ZLB Watcher
[2025-07-02 14:01:43] source-chain   | Sent TX d6740bae... to ZLB Watcher
[2025-07-02 14:01:43] source-chain   | Sent TX aa23d300... to ZLB Watcher
[2025-07-02 14:01:43] source-chain   | Sent TX f01e68e0... to ZLB Watcher
[2025-07-02 14:01:43] source-chain   | Sent TX f8a3bd1c... to ZLB Watcher
[2025-07-02 14:01:43] source-chain   | --- Created Block 4 with 5 TXs ---
[2025-07-02 14:01:43] source-chain   | Sent TX 5a6e241e... to ZLB Watcher
[2025-07-02 14:01:43] source-chain   | Sent TX 980969bf... to ZLB Watcher
[2025-07-02 14:01:43] source-chain   | Sent TX 9053f15d... to ZLB Watcher
[2025-07-02 14:01:43] source-chain   | Sent TX a75b1183... to ZLB Watcher
[2025-07-02 14:01:43] source-chain   | Sent TX 241fc36b... to ZLB Watcher
[2025-07-02 14:01:43] source-chain   | --- Created Block 5 with 5 TXs ---
[2025-07-02 14:01:44] source-chain   | Sent TX 80f82237... to ZLB Watcher
[2025-07-02 14:01:46] source-chain   | Sent TX d3d730dc... to ZLB Watcher
[2025-07-02 14:01:48] source-chain   | Sent TX aa3086b4... to ZLB Watcher
[2025-07-02 14:01:50] source-chain   | Sent TX 90b7f697... to ZLB Watcher
[2025-07-02 14:01:52] source-chain   | Sent TX 1438d8df... to ZLB Watcher
[2025-07-02 14:01:52] source-chain   | --- Created Block 6 with 5 TXs ---
[2025-07-02 14:01:52] zkcross-chain  | Received Source Block 6
[2025-07-02 14:01:52] zkcross-chain  |   -> OMITTED TX 80f82237...
[2025-07-02 14:01:52] dest-chain     | Received Audit for TX d3d730dc...
[2025-07-02 14:01:52] zkcross-chain  |   -> Audited TX d3d730dc...
[2025-07-02 14:01:52] zkcross-chain  |   -> Audited TX aa3086b4...
[2025-07-02 14:01:52] dest-chain     |   -> Minted TX d3d730dc...
[2025-07-02 14:01:52] dest-chain     | Received Audit for TX aa3086b4...
[2025-07-02 14:01:52] dest-chain     |   -> Minted TX aa3086b4...
[2025-07-02 14:01:52] dest-chain     | Received Audit for TX 90b7f697...
[2025-07-02 14:01:52] zkcross-chain  |   -> Audited TX 90b7f697...
[2025-07-02 14:01:52] dest-chain     |   -> Minted TX 90b7f697...
[2025-07-02 14:01:52] dest-chain     | Received Audit for TX 1438d8df...
[2025-07-02 14:01:52] zkcross-chain  |   -> Audited TX 1438d8df...
[2025-07-02 14:01:52] dest-chain     |   -> Minted TX 1438d8df...
[2025-07-02 14:01:54] zlb-watcher    | 
[2025-07-02 14:01:54] zlb-watcher    | >>> Proof of Destination Omission generated for TX: 49b211e96ca358f4142c43fff1324c9dd56631a0c9942bd40bc25c2eeda055c7 (Committer: 0xCommitter) <<<
[2025-07-02 14:01:54] zlb-watcher    | 
[2025-07-02 14:01:54] zlb-watcher    | 
[2025-07-02 14:01:54] zlb-watcher    | >>> Proof of Bridge Omission generated for TX: f01e68e0e02846ca82ab86dce609d4a246d02c0f4a06b784a44aed55a9b799a3 <<<
[2025-07-02 14:01:54] zlb-watcher    | 
[2025-07-02 14:01:54] source-chain   | Sent TX b07d7cfa... to ZLB Watcher
[2025-07-02 14:01:56] source-chain   | Sent TX a0871c82... to ZLB Watcher
[2025-07-02 14:01:58] source-chain   | Sent TX 0eca3a07... to ZLB Watcher
[2025-07-02 14:02:00] source-chain   | Sent TX 93ce3f6b... to ZLB Watcher
[2025-07-02 14:02:02] source-chain   | Sent TX 6aaf0b39... to ZLB Watcher
[2025-07-02 14:02:02] zkcross-chain  | Received Source Block 7
[2025-07-02 14:02:02] source-chain   | --- Created Block 7 with 5 TXs ---
[2025-07-02 14:02:02] zkcross-chain  |   -> Audited TX b07d7cfa...
[2025-07-02 14:02:02] zkcross-chain  |   -> Audited TX a0871c82...
[2025-07-02 14:02:02] dest-chain     | Received Audit for TX b07d7cfa...
[2025-07-02 14:02:02] dest-chain     |   -> Minted TX b07d7cfa...
[2025-07-02 14:02:02] dest-chain     | Received Audit for TX a0871c82...
[2025-07-02 14:02:02] dest-chain     |   -> Minted TX a0871c82...
[2025-07-02 14:02:02] dest-chain     | Received Audit for TX 0eca3a07...
[2025-07-02 14:02:02] zkcross-chain  |   -> Audited TX 0eca3a07...
[2025-07-02 14:02:02] dest-chain     |   -> Minted TX 0eca3a07...
[2025-07-02 14:02:02] dest-chain     | Received Audit for TX 93ce3f6b...
[2025-07-02 14:02:02] zkcross-chain  |   -> Audited TX 93ce3f6b...
[2025-07-02 14:02:02] dest-chain     |   -> Minted TX 93ce3f6b...
[2025-07-02 14:02:02] dest-chain     | Received Audit for TX 6aaf0b39...
[2025-07-02 14:02:02] zkcross-chain  |   -> Audited TX 6aaf0b39...
[2025-07-02 14:02:02] dest-chain     |   -> Minted TX 6aaf0b39...
[2025-07-02 14:02:04] zlb-watcher    | 
[2025-07-02 14:02:04] zlb-watcher    | >>> Proof of Destination Omission generated for TX: d6740bae5bd99d788cb01c13fa8864fcafeb2abe763de2494210669b82e0565d (Committer: 0xCommitter) <<<
[2025-07-02 14:02:04] zlb-watcher    | 
[2025-07-02 14:02:04] source-chain   | Sent TX fe9b9d03... to ZLB Watcher
[2025-07-02 14:02:06] source-chain   | Sent TX 4775fe44... to ZLB Watcher
[2025-07-02 14:02:08] source-chain   | Sent TX e0d6d521... to ZLB Watcher
[2025-07-02 14:02:10] source-chain   | Sent TX 37f4a238... to ZLB Watcher
[2025-07-02 14:02:12] source-chain   | Sent TX a1a650bf... to ZLB Watcher
[2025-07-02 14:02:12] source-chain   | --- Created Block 8 with 5 TXs ---
[2025-07-02 14:02:12] zkcross-chain  | Received Source Block 8
[2025-07-02 14:02:12] dest-chain     | Received Audit for TX fe9b9d03...
[2025-07-02 14:02:12] zkcross-chain  |   -> Audited TX fe9b9d03...
[2025-07-02 14:02:12] dest-chain     |   -> Minted TX fe9b9d03...
[2025-07-02 14:02:12] dest-chain     | Received Audit for TX 4775fe44...
[2025-07-02 14:02:12] zkcross-chain  |   -> Audited TX 4775fe44...
[2025-07-02 14:02:12] dest-chain     |   -> Minted TX 4775fe44...
[2025-07-02 14:02:12] dest-chain     | Received Audit for TX e0d6d521...
[2025-07-02 14:02:12] dest-chain     |   -> FAILED TO MINT TX e0d6d521...
[2025-07-02 14:02:12] zkcross-chain  |   -> Audited TX e0d6d521...
[2025-07-02 14:02:12] dest-chain     | Received Audit for TX 37f4a238...
[2025-07-02 14:02:12] zkcross-chain  |   -> Audited TX 37f4a238...
[2025-07-02 14:02:12] dest-chain     |   -> Minted TX 37f4a238...
[2025-07-02 14:02:12] dest-chain     | Received Audit for TX a1a650bf...
[2025-07-02 14:02:12] dest-chain     |   -> FAILED TO MINT TX a1a650bf...
[2025-07-02 14:02:12] zkcross-chain  |   -> Audited TX a1a650bf...
[2025-07-02 14:02:14] zlb-watcher    | 
[2025-07-02 14:02:14] zlb-watcher    | >>> Proof of Bridge Omission generated for TX: 80f822376102327283c9d7505cfaef1ff9848a9b4564fe8e31c464a99236cc99 <<<
[2025-07-02 14:02:14] zlb-watcher    | 
[2025-07-02 14:02:14] zlb-watcher    | 
[2025-07-02 14:02:14] zlb-watcher    | >>> Proof of Destination Omission generated for TX: 5a6e241e965cd4202d4c35647ed612df5c36eb5a9ecbaf1a53c9aca33140bb6d (Committer: 0xCommitter) <<<
[2025-07-02 14:02:14] zlb-watcher    | 
[2025-07-02 14:02:14] source-chain   | Sent TX 8e15eb17... to ZLB Watcher
[2025-07-02 14:02:16] source-chain   | Sent TX afdf38ed... to ZLB Watcher
[2025-07-02 14:02:18] source-chain   | Sent TX 743b2b70... to ZLB Watcher
[2025-07-02 14:02:20] source-chain   | Sent TX 77f6388d... to ZLB Watcher
[2025-07-02 14:02:22] source-chain   | Sent TX 72910213... to ZLB Watcher
[2025-07-02 14:02:22] zkcross-chain  | Received Source Block 9
[2025-07-02 14:02:22] source-chain   | --- Created Block 9 with 5 TXs ---
[2025-07-02 14:02:22] zkcross-chain  |   -> Audited TX 8e15eb17...
[2025-07-02 14:02:22] dest-chain     | Received Audit for TX 8e15eb17...
[2025-07-02 14:02:22] dest-chain     |   -> FAILED TO MINT TX 8e15eb17...
[2025-07-02 14:02:22] dest-chain     | Received Audit for TX afdf38ed...
[2025-07-02 14:02:22] zkcross-chain  |   -> Audited TX afdf38ed...
[2025-07-02 14:02:22] dest-chain     |   -> Minted TX afdf38ed...
[2025-07-02 14:02:22] dest-chain     | Received Audit for TX 743b2b70...
[2025-07-02 14:02:22] dest-chain     |   -> FAILED TO MINT TX 743b2b70...
[2025-07-02 14:02:22] zkcross-chain  |   -> Audited TX 743b2b70...
[2025-07-02 14:02:22] zkcross-chain  |   -> OMITTED TX 77f6388d...
[2025-07-02 14:02:22] dest-chain     | Received Audit for TX 72910213...
[2025-07-02 14:02:22] zkcross-chain  |   -> Audited TX 72910213...
[2025-07-02 14:02:22] dest-chain     |   -> Minted TX 72910213...
[2025-07-02 14:02:24] source-chain   | Sent TX 2f378539... to ZLB Watcher
[2025-07-02 14:02:26] source-chain   | Sent TX b02a50ca... to ZLB Watcher
[2025-07-02 14:02:28] source-chain   | Sent TX a555b094... to ZLB Watcher
[2025-07-02 14:02:30] source-chain   | Sent TX 73cee7ee... to ZLB Watcher
[2025-07-02 14:02:32] source-chain   | Sent TX 25b96841... to ZLB Watcher
[2025-07-02 14:02:32] zkcross-chain  | Received Source Block 10
[2025-07-02 14:02:32] source-chain   | --- Created Block 10 with 5 TXs ---
[2025-07-02 14:02:32] dest-chain     | Received Audit for TX 2f378539...
[2025-07-02 14:02:32] dest-chain     |   -> FAILED TO MINT TX 2f378539...
[2025-07-02 14:02:32] zkcross-chain  |   -> Audited TX 2f378539...
[2025-07-02 14:02:32] dest-chain     | Received Audit for TX b02a50ca...
[2025-07-02 14:02:32] dest-chain     |   -> FAILED TO MINT TX b02a50ca...
[2025-07-02 14:02:32] zkcross-chain  |   -> Audited TX b02a50ca...
[2025-07-02 14:02:32] dest-chain     | Received Audit for TX a555b094...
[2025-07-02 14:02:32] zkcross-chain  |   -> Audited TX a555b094...
[2025-07-02 14:02:32] dest-chain     |   -> Minted TX a555b094...
[2025-07-02 14:02:32] dest-chain     | Received Audit for TX 73cee7ee...
[2025-07-02 14:02:32] zkcross-chain  |   -> Audited TX 73cee7ee...
[2025-07-02 14:02:32] dest-chain     |   -> Minted TX 73cee7ee...
[2025-07-02 14:02:32] dest-chain     | Received Audit for TX 25b96841...
[2025-07-02 14:02:32] dest-chain     |   -> Minted TX 25b96841...
[2025-07-02 14:02:32] zkcross-chain  |   -> Audited TX 25b96841...
[2025-07-02 14:02:34] source-chain   | Sent TX d8aa80d0... to ZLB Watcher
[2025-07-02 14:02:36] source-chain   | Sent TX d312860e... to ZLB Watcher
[2025-07-02 14:02:38] source-chain   | Sent TX 241d32fe... to ZLB Watcher
[2025-07-02 14:02:40] source-chain   | Sent TX 58b64590... to ZLB Watcher
[2025-07-02 14:02:42] source-chain   | Sent TX 2e422238... to ZLB Watcher
[2025-07-02 14:02:42] zkcross-chain  | Received Source Block 11
[2025-07-02 14:02:42] dest-chain     | Received Audit for TX d8aa80d0...
[2025-07-02 14:02:42] source-chain   | --- Created Block 11 with 5 TXs ---
[2025-07-02 14:02:42] zkcross-chain  |   -> Audited TX d8aa80d0...
[2025-07-02 14:02:42] dest-chain     |   -> Minted TX d8aa80d0...
[2025-07-02 14:02:42] dest-chain     | Received Audit for TX d312860e...
[2025-07-02 14:02:42] dest-chain     |   -> FAILED TO MINT TX d312860e...
[2025-07-02 14:02:42] zkcross-chain  |   -> Audited TX d312860e...
[2025-07-02 14:02:42] dest-chain     | Received Audit for TX 241d32fe...
